Type,Brand,Product,Kosher,Misc,Src
Beer,Jailbreak Brewing,Gnarles Barley,Star-K*,,1
Beer,Jailbreak Brewing,Into the Dark,Star-K*,,1
Beer,Jailbreak Brewing,Kavorka,Star-K*,,1
Beer,Jailbreak Brewing,Made Wit Basil,Star-K*,,1
Beer,Jailbreak Brewing,Rye Ale,Star-K*,,1
Beer,Jailbreak Brewing,The Infinite,Star-K*,,1
Beer,Jailbreak Brewing,Welcome to Scoville,Star-K*,,1
Beer,Keystone,Beer,OU*,,1
Beer,Keystone,Ice Beer,OU*,,1
Beer,Keystone,Light Beer,OU*,,1
Beer,Kirin,Ichiban,,,1
Beer,Kirin,Light,,,1
Beer,Kirkland Signature,Kirkland Signature Amber Ale,KCOR,,1
Beer,Kirkland Signature,Kirkland Signature Belgian Style White,KCOR,,1
Beer,Kirkland Signature,Kirkland Signature India Pale Ale,KCOR,,1
Beer,Kirkland Signature,Kirkland Signature Pale Ale,KCOR,,1
Beer,Lakefront,Big Easy Lager,Star-K*,,1
Beer,Lakefront,Bock Dark Lager,Star-K*,,1
Beer,Lakefront,Bridge Burner Ale,Star-K*,,1
Beer,Lakefront,Cherry Lager,Star-K*,,1
Beer,Lakefront,Cream City Pale Ale,Star-K*,,1
Beer,Lakefront,East Side Dark Lager,Star-K*,,1
Beer,Lakefront,Fixed Gear American Red Ale,Star-K*,,1
Beer,Lakefront,Fuel Coffee Stout,Star-K*,,1
Beer,Lakefront,Holiday Spice Lager,Star-K*,,1
Beer,Lakefront,Klisch Pilsner,Star-K*,,1
Beer,Lakefront,New Grist Beer,Star-K*,,1
Beer,Lakefront,Oktoberfest,Star-K*,,1
Beer,Lakefront,Organic Barleywine,Star-K*,,1
Beer,Lakefront,Organic ESB,Star-K*,,1
Beer,Lakefront,Pumpkin Lager,Star-K*,,1
Beer,Lakefront,Rendezvous Ale,Star-K*,,1
Beer,Lakefront,Riverwest Stein,Star-K*,,1
Beer,Lakefront,Snake Chaser Stout,Star-K*,,1
Beer,Lakefront,White Beer,Star-K*,,1
Beer,Leinenkugel,1888 Bock,OU,,1
Beer,Leinenkugel,Berry Weiss Ale,OU,,1
Beer,Leinenkugel,Canoe Paddler,OU,,1
Beer,Leinenkugel,Classic Amber Ale,OU,,1
Beer,Leinenkugel,Classic Lager,OU,,1
Beer,Leinenkugel,Creamy Dark,OU,,1
Beer,Leinenkugel,Fireside Nut Brown Ale,OU,,1
Beer,Leinenkugel,Honey Weiss Ale,OU,,1
Beer,Leinenkugel,Hoppin' Helles,OU,,1
Beer,Leinenkugel,Imperial Russian Stout,OU,,1
Beer,Leinenkugel,Oktoberfest,OU,,1
Beer,Leinenkugel,Orange Shandy,OU,,1
Beer,Leinenkugel,Original Beer,OU,,1
Beer,Leinenkugel,Red Lager,OU,,1
Beer,Leinenkugel,Snowdrift Vanilla Porter,OU,,1
Beer,Leinenkugel,Summer Shandy Ale,OU,,1
Beer,Leinenkugel,Sunset Wheat Ale,OU,,1
Beer,Lift Bridge Brewing Co.,Assorted Varieties,0,,1
Beer,Lion Brewery,Lionshead Light,OU*,,1
Beer,Lion Brewery,Stegmaier Gold,OU*,,1
Beer,Lion Brewery,Stegmaier Honey Suckle Ale,OU*,,1
